a,art,uno,
abacus,n,abaco,
abate,vt,minue,
abide,vi,dege,
abject,adj,vile,
able (skillful),adj,capace,
above (over),prep,super,
accept,vt,accipe,
accident (mishap),n,infortunio,
accompany,vt,comita,
accomplish,vt,perfice,
accost,vt,appropinqua,
ache,n,dolore,
across (on the other side),prep,trans,
adjacent,adj,adjacente,
adjoin,vt,adjunge,
adjunct,adj,adjuncto,
admit,vt,confite,
adorn,vt,para,
adroit,adj,versuto,
Advent (rel),n,adventu,
adverse,adj,adverso,
advice,n,consilio,Nocte fer consilio.
ago,adv,abhinc,
alarm,vt,turba,
alas,inter,heu,
albeit,conj,quamvis,
alike,adj,pari,
alive,adj,vivo,
alley,n,vico,
almost,adv,quasi,
alone,adj,solo,
alphabet,n,alphabeto,
already,adv,jam,
also,adv,etiam,
always,cor,semper,
ambiguous,adj,vago,
amble,vi,ambula,
analogous,adj,analogo,
analysis,n,analysi,
angry,adj,irato,
anguilla,n,anguilla,
anguish,n,angustia,
animal,n,animale,Omni animale ama se.
another,adj,altero,
antler,n,ramo,
any,cor,ullo,
ape,n,simia,
apex,n,vertice,
appertain,vi,pertine,
apple,n,male,
arm,n,brachio,
armoire,n,armario,
around,prep,circum,
arrange,vt,ordina,
arrears,n,arretrato,
art,n,arte,Arte imita natura.
article,n,articulo,
ass (zool),n,asino,
assent,vi,annue,
associate,n,socio,
attack,vt,opugna,
attain,vi,perveni,
attain,vt,attinge,
attempt,n,conatu,
attend,vt,servi,
augment,vt,auge,
August,n,augusto,
aunt,n,amita,
avoid,vt,evita,
await,vt,attende,
awake (to wake up),vi,expergisce,
away,adv,ab,
awning,n,tentorio,
balance (of account),n,reliquo,
ball,n,pilo,
band,n,turba,
bar (in a river),n,pulvino,
bard,n,vate,
barley,n,hordeo,
base,vt,funda,
bean,n,faba,
bear (zoo),n,urso,
beard,n,barba,
beast,n,bestia,
beautiful,adj,pulcro,
bee,n,ape,
beech,n,fago,
beer,n,cervisia,
beg,vt,pete,
begin,vt,incipe,
beginning,n,principio,
behind,prep,retro,
behold!,inter,ecce,
being,(entity),ente,
believe,vt,crede,Homo crede quod spera.
bell,n,campana,
bench,n,sedile,
bend,vt,flecte,
benefit,n,lucro,
benign,adj,benigno,
best,adj,optimo,
beverage,n,bibita,
bias,vt,propende,
big,adj,crasso,
bird,n,ave,
bit,n,mica,
bitter,adj,amaro,
black,adj,nigro,
blade,n,lamina,
blame,n,culpa,
bland,adj,lene,
blaze,vi,splende,
blend,vt,misce,
block,n,massa,
blond,adj,flavo,
blood,n,sanguine,
bloom,vi,flore,
blow,vt,suffla,
bludgeon,n,virga,
blue,adj,caeruleo,
board,n,tabula,
body,n,corpore,Mente sano in corpore sano.
bog,n,palude,
boil,vt,bulli,
boot,n,calceo,
booth,n,umbra,
borough,n,pago,
borrow,vt,mutua,
bottle,n,phiala,
box,n,capsula,
brace,n,brachio,
brain,n,cerebro,
branch,n,ramo,
brass,n,aes,
bread,n,pane,
breathe,vi,respira,
breeches,n,braca,
brick,n,later,
bridge,n,ponte,
bring,vt,apporta,
broad,adj,lato,
broth,n,jusculo,
